V,D,EPR,traffic,Phi,Phi_per_EP,i_conv
13,4,2,uniform,253.15281899109806,9.736646884273002,92
13,4,2,nearst-neighbour,250.0,9.615384615384615,86
13,4,2,shift_1,260.0,10.0,86
13,4,2,shift_half,184.30379746835442,7.0886075949367084,90
13,4,2,router-cluster,240.0,9.23076923076923,93
13,4,2,random-permute,86.66666666666667,3.3333333333333335,87
31,6,3,uniform,814.1717431753881,8.754534872853636,219
31,6,3,nearst-neighbour,920.0,9.89247311827957,204
31,6,3,shift_1,930.0,10.0,206
31,6,3,shift_half,572.6223199560197,6.157229246838922,208
31,6,3,router-cluster,826.2127783649815,8.88400836951593,224
31,6,3,random-permute,232.5,2.5,203
57,8,4,uniform,1844.9588694524766,8.091924866019633,513
57,8,4,nearst-neighbour,2270.0,9.956140350877194,370
57,8,4,shift_1,2280.0000000000005,10.000000000000002,379
57,8,4,shift_half,1216.0,5.333333333333333,373
57,8,4,router-cluster,1856.0708846739576,8.140661774885778,452
57,8,4,random-permute,456.0,2.0,384
91,10,5,uniform,3775.8409152320314,8.29855146204842,984
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983,642
91,10,5,shift_1,4550.0,10.0,599
91,10,5,shift_half,2554.385964912281,5.614035087719299,626
91,10,5,router-cluster,3684.2341035822124,8.097217810070797,805
91,10,5,random-permute,909.9999999999997,1.9999999999999993,637
133,12,6,uniform,6554.492821782059,8.213650152609096,1668
133,12,6,nearst-neighbour,7970.000000000002,9.987468671679201,988
133,12,6,shift_1,7980.000000000001,10.000000000000002,1013
133,12,6,shift_half,4255.9999999999945,5.333333333333327,933
133,12,6,router-cluster,6524.478342796193,8.176038023554126,1481
133,12,6,random-permute,1329.9999999999995,1.666666666666666,992
183,14,7,uniform,10545.275685607654,8.23206532834321,2958
183,14,7,nearst-neighbour,12800.000000000005,9.99219359875098,1397
183,14,7,shift_1,12810.0,10.0,1322
183,14,7,shift_half,6772.244897959191,5.286686103012639,1317
183,14,7,router-cluster,10459.156174131196,8.164836982147694,2276
183,14,7,random-permute,2561.9999999999914,1.9999999999999933,1376
