V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,random-permute,86.66666666666667,3.333333333333333
13,4,2,shift_half,109.47368421052626,4.210526315789472
13,4,2,shift_1,208.0,8.0
13,4,2,nearst-neighbour,250.0,9.615384615384617
13,4,2,uniform,128.71287128712885,4.950495049504956
13,4,2,router-cluster,126.31578947368422,4.858299595141701
18,5,3,uniform,225.1327433628316,4.169124877089474
18,5,3,nearst-neighbour,529.9999999999998,9.814814814814811
18,5,3,shift_1,480.00000000000006,8.88888888888889
18,5,3,shift_half,159.99999999999994,2.962962962962962
18,5,3,router-cluster,218.9473684210528,4.054580896686162
18,5,3,random-permute,172.8,3.2
31,6,3,random-permute,232.5,2.5
31,6,3,router-cluster,432.9411764705884,4.655281467425681
31,6,3,shift_half,323.47826086956536,3.478260869565219
31,6,3,shift_1,826.6666666666666,8.88888888888889
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,uniform,439.6146435452776,4.727039177906211
32,6,3,random-permute,240.0,2.5
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,256.0,2.6666666666666665
32,6,3,uniform,452.8864059590321,4.717566728739918
32,6,3,router-cluster,417.5886524822695,4.349881796690307
36,5,3,uniform,433.4177215189856,4.013127051101718
36,5,3,nearst-neighbour,855.9999999999997,7.925925925925923
36,5,3,shift_1,719.9999999999999,6.666666666666665
36,5,3,shift_half,240.00000000000003,2.2222222222222223
36,5,3,router-cluster,402.5806451612906,3.727598566308246
36,5,3,random-permute,254.11764705882345,2.3529411764705874
50,7,4,random-permute,400.0,2.0
50,7,4,shift_half,400.0,2.0
50,7,4,shift_1,1777.7777777777778,8.88888888888889
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,uniform,792.8286852589675,3.9641434262948376
50,7,4,router-cluster,753.8461538461545,3.769230769230772
57,8,4,shift_1,2280.0000000000005,10.000000000000002
57,8,4,router-cluster,1061.787941787941,4.656964656964654
57,8,4,shift_half,608.0,2.6666666666666665
57,8,4,nearst-neighbour,2270.0,9.956140350877194
57,8,4,uniform,1155.26785714286,5.066964285714299
57,8,4,random-permute,456.0,2.0
91,10,5,nearst-neighbour,4540.000000000003,9.978021978021983
91,10,5,shift_1,4550.0,10.0
91,10,5,shift_half,1255.172413793103,2.758620689655172
91,10,5,router-cluster,2256.222841225625,4.9587315191771975
91,10,5,random-permute,909.9999999999995,1.9999999999999996
91,10,5,uniform,2395.0144927536244,5.263768115942032
98,11,6,shift_1,5880.000000000002,10.000000000000004
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_half,979.9999999999998,1.6666666666666663
98,11,6,router-cluster,2578.018018018016,4.384384384384381
98,11,6,random-permute,1176.0,2.0
98,11,6,uniform,2700.751173708924,4.593114241001572
114,8,4,random-permute,912.0,2.0
114,8,4,uniform,1740.6040268456286,3.817114093959712
114,8,4,nearst-neighbour,4282.352941176472,9.391124871001034
114,8,4,shift_half,760.0000000000002,1.6666666666666672
114,8,4,router-cluster,1605.2336448598105,3.520249221183795
114,8,4,shift_1,3647.999999999999,7.999999999999997
128,12,6,uniform,3978.763931104391,5.1806822019588425
128,12,6,random-permute,1280.0000000000002,1.666666666666667
128,12,6,router-cluster,3543.1884057971056,4.613526570048315
128,12,6,shift_half,1462.857142857143,1.9047619047619044
128,12,6,shift_1,7680.0,10.0
128,12,6,nearst-neighbour,7670.000000000001,9.986979166666668
133,12,6,random-permute,1329.9999999999995,1.666666666666666
133,12,6,uniform,4003.814919735579,5.017311929493207
133,12,6,router-cluster,3549.7297297297314,4.448282869335503
133,12,6,shift_half,1636.9230769230749,2.051282051282049
133,12,6,shift_1,7980.000000000001,10.000000000000002
133,12,6,nearst-neighbour,7970.000000000002,9.9874686716792
162,13,7,nearst-neighbour,11329.99999999998,9.991181657848308
162,13,7,uniform,5218.081023454176,4.601482383998391
162,13,7,router-cluster,4844.985771200903,4.272474225044888
162,13,7,random-permute,2268.0000000000014,2.0000000000000013
162,13,7,shift_1,11339.999999999962,9.999999999999966
162,13,7,shift_half,2160.000000000002,1.9047619047619064
183,14,7,random-permute,2561.999999999992,1.9999999999999931
183,14,7,uniform,6182.51402177502,4.826318518169415
183,14,7,nearst-neighbour,12800.000000000004,9.99219359875098
183,14,7,shift_1,12810.0,10.0
183,14,7,shift_half,2383.2558139534926,1.860465116279073
183,14,7,router-cluster,5464.302442288372,4.265653741052593
242,17,9,shift_1,21780.0,10.0
242,17,9,nearst-neighbour,21770.00000000005,9.995408631772293
242,17,9,uniform,8259.204389574743,3.792104862063702
242,17,9,shift_half,2765.7142857143067,1.2698412698412795
242,17,9,random-permute,3630.000000000005,1.6666666666666687
242,17,9,router-cluster,7577.797017797026,3.4792456463714534
264,11,6,nearst-neighbour,14071.111111111026,8.883277216610496
264,11,6,shift_half,2346.6666666666683,1.4814814814814825
264,11,6,router-cluster,4965.7142857142735,3.134920634920628
264,11,6,random-permute,3017.142857142853,1.9047619047619024
264,11,6,uniform,5140.3690036900325,3.245182451824516
264,11,6,shift_1,11520.0,7.272727272727272
